state_code,State,District,City,Category,Sub-category,Micro-category,Product
1,Andhra Pradesh,Guntur,Guntur,Fruits,All season,Banana,Rasthali Banana
1,Andhra Pradesh,Kurnool,Kurnool,Fruits,All season,Banana,Sugandhalu Banana
1,Andhra Pradesh,Chittoor,Chittoor,Bakery,Baked products,Bread,Bread
1,Andhra Pradesh,Guntur,Guntur,Bakery,Baked products,Bread,Bread
1,Andhra Pradesh,Kurnool,Kurnool,Bakery,Baked products,Bread,Bread
1,Andhra Pradesh,Chittoor,Chittoor,Vegetables,Fruit-vegetables,Brinjal,Aruna Brinjal
1,Andhra Pradesh,Guntur,Guntur,Vegetables,Fruit-vegetables,Brinjal,Aruna Brinjal
1,Andhra Pradesh,Kurnool,Kurnool,Vegetables,Fruit-vegetables,Brinjal,Aruna Brinjal
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Vegetables,Fruit-vegetables,Brinjal,Aruna Brinjal
1,Andhra Pradesh,Krishna,Vijayawada,Bakery,Baked products,Brownie,Brownie
1,Andhra Pradesh,Guntur,Guntur,Bakery,Pastry products,Cakes,Cakes
1,Andhra Pradesh,Krishna,Vijayawada,Meat,White Meat,Chicken,Chicken
1,Andhra Pradesh,Krishna,Vijayawada,Meat,White Meat,Chicken,Chicken
1,Andhra Pradesh,Kurnool,Kurnool,Meat,White Meat,Chicken,Chicken
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Meat,White Meat,Chicken,Chicken
1,Andhra Pradesh,Chittoor,Chittoor,Vegetables,Nightshade vegetables,Chillies,Jwala Chilli
1,Andhra Pradesh,Guntur,Guntur,Vegetables,Nightshade vegetables,Chillies,Guntur Chilli
1,Andhra Pradesh,Krishna,Vijayawada,Vegetables,Nightshade vegetables,Chillies,Andhra Jyoti Chilli
1,Andhra Pradesh,Chittoor,Chittoor,Grocery,Beverages,Coffee,Coffee
1,Andhra Pradesh,Chittoor,Chittoor,Bakery,Baked products,Cookies,Cookies
1,Andhra Pradesh,Krishna,Vijayawada,Bakery,Baked products,Cookies,Cookies
1,Andhra Pradesh,Kurnool,Kurnool,Bakery,Baked products,Cookies,Cookies
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Bakery,Baked products,Cookies,Cookies
1,Andhra Pradesh,Krishna,Vijayawada,Vegetables,Melons and Squash,Cucumber,Long Green Cucumber
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Bakery,Pastry products,Cup-cakes,Cup-cakes
1,Andhra Pradesh,Kurnool,Kurnool,Dairy products,Milk products,Curd,Dahi
1,Andhra Pradesh,Chittoor,Chittoor,Grocery,Household items,Dal,Arhar Dal
1,Andhra Pradesh,Krishna,Vijayawada,Grocery,Household items,Dal,Moong Dal
1,Andhra Pradesh,Kurnool,Kurnool,Grocery,Household items,Dal,Chana Dal
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Grocery,Household items,Dal,Chana Dal
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Dairy products,Frozen desserts,Frozen yoghurt,Yoghurt
1,Andhra Pradesh,Chittoor,Chittoor,Dairy products,Milk products,Ghee,Pure Ghee
1,Andhra Pradesh,Guntur,Guntur,Dairy products,Milk products,Ghee,Pure Ghee
1,Andhra Pradesh,Kurnool,Kurnool,Dairy products,Frozen desserts,Ice-cream,Ice-cream
1,Andhra Pradesh,Chittoor,Chittoor,Flowers,White flowers,Jasmine,Crepe Jasmine
1,Andhra Pradesh,Guntur,Guntur,Flowers,White flowers,Jasmine,Coral Jasmine
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Fruits,Citrus Fruits,Lemon,Kagzi Lemon
1,Andhra Pradesh,Guntur,Guntur,Fruits,Seasonal,Mango,Banganapalli Mango
1,Andhra Pradesh,Krishna,Vijayawada,Fruits,Seasonal,Mango,Banganapalli Mango
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Fruits,Seasonal,Mango,Banganapalli Mango
1,Andhra Pradesh,Kurnool,Kurnool,Flowers,Yellow flowers,Marigold,African Marigold
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Flowers,Yellow flowers,Marigold,African Marigold
1,Andhra Pradesh,Chittoor,Chittoor,Dairy products,Milk products,Milk,Liquid milk
1,Andhra Pradesh,Guntur,Guntur,Dairy products,Milk products,Milk,Liquid milk
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Dairy products,Milk products,Milk,Liquid milk
1,Andhra Pradesh,Krishna,Vijayawada,Fruits,Citrus Fruits,Mosambi,Mosambi
1,Andhra Pradesh,Chittoor,Chittoor,Fish,Freshwater,Murrel,Snakehead Murrel
1,Andhra Pradesh,Krishna,Vijayawada,Fish,Freshwater,Murrel,Snakehead Murrel
1,Andhra Pradesh,Chittoor,Chittoor,Meat,Red Meat,Mutton,Mutton
1,Andhra Pradesh,Guntur,Guntur,Meat,Red Meat,Mutton,Mutton
1,Andhra Pradesh,Krishna,Vijayawada,Meat,Red Meat,Mutton,Mutton
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Meat,Red Meat,Mutton,Mutton
1,Andhra Pradesh,Kurnool,Kurnool,Vegetables,Pods and Seeds,Okra,Lady finger
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Vegetables,Pods and Seeds,Okra,Lady finger
1,Andhra Pradesh,Kurnool,Kurnool,Vegetables,Roots and Tubers,Onion,Pusa Red Onion
1,Andhra Pradesh,Chittoor,Chittoor,Fruits,Citrus Fruits,Orange,Mandarin Orange
1,Andhra Pradesh,Chittoor,Chittoor,Fruits,Citrus Fruits,Orange,Batavian Orange
1,Andhra Pradesh,Guntur,Guntur,Fruits,Citrus Fruits,Orange,Mandarin Orange
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Fruits,Citrus Fruits,Orange,Batavian Orange
1,Andhra Pradesh,Kurnool,Kurnool,Fruits,Seasonal,Orange,Batavian Orange
1,Andhra Pradesh,Chittoor,Chittoor,Dairy products,Milk products,Paneer,Paneer
1,Andhra Pradesh,Guntur,Guntur,Dairy products,Milk products,Paneer,Paneer
1,Andhra Pradesh,Kurnool,Kurnool,Dairy products,Milk products,Paneer,Paneer
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Dairy products,Milk products,Paneer,Paneer
1,Andhra Pradesh,Kurnool,Kurnool,Fruits,Tropical,Papaya,Honeydew Papaya
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Vegetables,Roots and Tubers,Potato,Kufri Jawahar Potato
1,Andhra Pradesh,Guntur,Guntur,Fish,Seawater,Prawns,Prawns
1,Andhra Pradesh,Krishna,Vijayawada,Fish,Seawater,Prawns,Prawns
1,Andhra Pradesh,Kurnool,Kurnool,Fish,Seawater,Prawns,Prawns
1,Andhra Pradesh,Chittoor,Chittoor,Grocery,Household items,Rice,Sona Masuri Rice
1,Andhra Pradesh,Guntur,Guntur,Grocery,Household items,Rice,Sona Masuri Rice
1,Andhra Pradesh,Krishna,Vijayawada,Grocery,Household items,Rice,Chitti Muthyalu Rice
1,Andhra Pradesh,Kurnool,Kurnool,Grocery,Household items,Rice,Chitti Muthyalu Rice
1,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,Grocery,Household items,Rice,Sona Masuri Rice
1,Andhra Pradesh,Krishna,Vijayawada,Fish,Freshwater,Rohu,Rohu
