Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Local,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.1,2415,2000
Local,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  Finger Food,4.1,2415,2000
Local,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.1,2415,2000
The G.T. ROAD,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,2363,1500
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,Finger Food,4.2,5016,2000
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.2,5016,2000
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.2,5016,2000
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.2,5016,2000
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Asian,4.2,5016,2000
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,2821,1800
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Mediterranean,4.2,2821,1800
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Asian,4.2,2821,1800
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.2,2821,1800
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Oriental ,4.2,2821,1800
Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,Mexican,4.4,1094,2000
Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  American,4.4,1094,2000
Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.4,1094,2000
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,3.9,1391,2000
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,3.9,1391,2000
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,3.9,1391,2000
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,3.9,1391,2000
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,3.9,1391,2000
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Seafood,3.9,1391,2000
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.0,1022,1800
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.0,1022,1800
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.0,1022,1800
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,4.0,1022,1800
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.0,1022,1800
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.3,963,2100
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.3,963,2100
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.3,963,2100
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.3,963,2100
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Oriental ,4.3,963,2100
My Bar Square,"Connaught Place, Central Delhi", Central Delhi,Delhi,Finger Food,3.9,506,1500
My Bar Square,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,3.9,506,1500
My Bar Square,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,3.9,506,1500
My Bar Square,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,3.9,506,1500
Ghoomar Traditional Thali Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.2,712,1000
Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.1,2428,2000
Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.1,2428,2000
Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.1,2428,2000
Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.1,2428,2000
Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Mediterranean,4.1,2428,2000
